Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Hu, C., Huo, Y.",55224734400; 15750734000,Efficient privacy-preserving dot-product computation for mobile big data,2017,IET Communications,11,5,,704,712,,5,10.1049/iet-com.2016.0782,https://www.scopus.com/inward/record.url?eid=2-s2.0-85018646556&partnerID=40&md5=e38211ae5a6d76dae76c1d5e78a1a5ae,Article,Final,,Scopus,2-s2.0-85018646556
"Zhao, Y., Fan, P., Cai, H., Qin, Z., Xiong, H.",56118956900; 57194509229; 57194492760; 7202822723; 14059276900,Attribute-based encryption with non-monotonic access structures supporting fine-grained attribute revocation in m-healthcare,2017,International Journal of Network Security,19,6,,1044,1052,,5,10.6633/IJNS.201711.19(6).21,https://www.scopus.com/inward/record.url?eid=2-s2.0-85020411496&partnerID=40&md5=c725f2a84686f71a6ac6ab127760b401,Article,Final,,Scopus,2-s2.0-85020411496
"Liu, J., Ma, J., Wu, W., Chen, X., Huang, X., Xu, L.",56895438500; 56895364900; 56562081200; 35721744700; 55814453300; 55986773300,"Protecting mobile health records in cloud computing: A secure, efficient, and anonymous design",2017,ACM Transactions on Embedded Computing Systems,16,2,57,,,,5,10.1145/2983625,https://www.scopus.com/inward/record.url?eid=2-s2.0-85008970464&partnerID=40&md5=e856db4ae3e47a9c9fb3994cd85a0234,Article,Final,,Scopus,2-s2.0-85008970464
"Moura, P., Fazendeiro, P., Marques, P., Ferreira, A.",57201988084; 19640174600; 37079361600; 56213849200,SoTRAACE - Socio-technical risk-adaptable access control model,2017,Proceedings - International Carnahan Conference on Security Technology,2017-October,,,1,6,,4,10.1109/CCST.2017.8167835,https://www.scopus.com/inward/record.url?eid=2-s2.0-85042316589&partnerID=40&md5=e0e83c42e9f5f997739d2df57680759f,Conference Paper,Final,,Scopus,2-s2.0-85042316589
"Mahboubi, A., Camtepe, S., Morarji, H.",57197727870; 8940517200; 6506412147,A Study on Formal Methods to Generalize Heterogeneous Mobile Malware Propagation and Their Impacts,2017,IEEE Access,5,,8105807,27740,27756,,4,10.1109/ACCESS.2017.2772787,https://www.scopus.com/inward/record.url?eid=2-s2.0-85034216458&partnerID=40&md5=10ca412d3ea0914cf66e8d2407f2298e,Article,Final,Open Access,Scopus,2-s2.0-85034216458
"Angeletti, F., Chatzigiannakis, I., Vitaletti, A.",57200441264; 6602645904; 6506463530,Privacy preserving data management in recruiting participants for digital clinical trials,2017,"HumanSys 2017 - Proceedings of the 1st International Workshop on Human-Centered Sensing, Networking, and Systems, Part of SenSys 2017",,,,7,12,,4,10.1145/3144730.3144733,https://www.scopus.com/inward/record.url?eid=2-s2.0-85041686555&partnerID=40&md5=9c5a601d99d497a14f8d364619008da6,Conference Paper,Final,,Scopus,2-s2.0-85041686555
"Boussif, M., Aloui, N., Cherif, A.",57196186061; 55682913500; 35618147800,Smartphone application for medical images secured exchange based on encryption using the matrix product and the exclusive addition,2017,IET Image Processing,11,11,,1020,1026,,4,10.1049/iet-ipr.2017.0229,https://www.scopus.com/inward/record.url?eid=2-s2.0-85034607870&partnerID=40&md5=8eefe611782dcbda5b25bc21a3600bf3,Article,Final,,Scopus,2-s2.0-85034607870
"Turvey, C., Fortney, J.",7003607782; 7005616678,The Use of Telemedicine and Mobile Technology to Promote Population Health and Population Management for Psychiatric Disorders,2017,Current Psychiatry Reports,19,11,88,,,,4,10.1007/s11920-017-0844-0,https://www.scopus.com/inward/record.url?eid=2-s2.0-85031998230&partnerID=40&md5=826c610e20ddde0e42926d4162c745a7,Review,Final,,Scopus,2-s2.0-85031998230
"Shen, J., Naeim, A.",57196027370; 9040207700,Telehealth in older adults with cancer in the United States: The emerging use of wearable sensors,2017,Journal of Geriatric Oncology,8,6,,437,442,,4,10.1016/j.jgo.2017.08.008,https://www.scopus.com/inward/record.url?eid=2-s2.0-85031005286&partnerID=40&md5=ff1c807fc304cf20e904751081bdb502,Review,Final,,Scopus,2-s2.0-85031005286
"Kumar, P., Saini, R., Sahu, P.K., Roy, P.P., Dogra, D.P., Balasubramanian, R.",57204574261; 57190288840; 57195927080; 56880478500; 35408975400; 7103127999,Neuro-Phone: An assistive framework to operate smartphone using EEG signals,2017,TENSYMP 2017 - IEEE International Symposium on Technologies for Smart Cities,,,8070065,,,,4,10.1109/TENCONSpring.2017.8070065,https://www.scopus.com/inward/record.url?eid=2-s2.0-85034962238&partnerID=40&md5=1b169972a4b1e55c71a1704ad7358363,Conference Paper,Final,,Scopus,2-s2.0-85034962238
"Mahmood, Z., Ning, H., Ullah, A., Yao, X.",57202644352; 9232973200; 57196119758; 23502335800,Secure authentication and Prescription Safety Protocol for telecare health services using ubiquitous IoT,2017,Applied Sciences (Switzerland),7,10,1069,,,,4,10.3390/app7101069,https://www.scopus.com/inward/record.url?eid=2-s2.0-85031912360&partnerID=40&md5=0d1312b390c7a61c633c958e5280ad00,Article,Final,Open Access,Scopus,2-s2.0-85031912360
"Huertas Celdrán, A., Gil Pérez, M., García Clemente, F.J., Martínez Pérez, G.",57194611304; 55937383000; 12808508300; 55855872400,Preserving patients’ privacy in health scenarios through a multicontext-aware system,2017,Annales des Telecommunications/Annals of Telecommunications,72,9-Oct,,577,587,,4,10.1007/s12243-017-0582-7,https://www.scopus.com/inward/record.url?eid=2-s2.0-85021245486&partnerID=40&md5=74f5863dce44a377cab1b37499cbf43c,Article,Final,,Scopus,2-s2.0-85021245486
"Cho, H.",35766331800,Design and implementation of a lightweight smart insole for gait analysis,2017,"Proceedings - 16th IEEE International Conference on Trust, Security and Privacy in Computing and Communications, 11th IEEE International Conference on Big Data Science and Engineering and 14th IEEE International Conference on Embedded Software and Systems, Trustcom/BigDataSE/ICESS 2017",,,8029517,792,797,,4,10.1109/Trustcom/BigDataSE/ICESS.2017.314,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032358112&partnerID=40&md5=7a730916428be33e51dcaba1f0fb21f9,Conference Paper,Final,,Scopus,2-s2.0-85032358112
"Baumel, A., Birnbaum, M.L., Sucala, M.",56809184200; 55826891400; 37089654500,A Systematic Review and Taxonomy of Published Quality Criteria Related to the Evaluation of User-Facing eHealth Programs,2017,Journal of Medical Systems,41,8,128,,,,4,10.1007/s10916-017-0776-6,https://www.scopus.com/inward/record.url?eid=2-s2.0-85025460591&partnerID=40&md5=8fc5c2fb28012ebd1bc09379e4fe23e2,Article,Final,,Scopus,2-s2.0-85025460591
"Bellavista, P., De Benedetto, J., De Rolt, C.R., Foschini, L., Montanari, R.",6603925242; 57195469625; 56121752300; 7004212533; 7004879776,LTE proximity discovery for supporting participatory mobile health communities,2017,IEEE International Conference on Communications,,,7996486,,,,4,10.1109/ICC.2017.7996486,https://www.scopus.com/inward/record.url?eid=2-s2.0-85028302786&partnerID=40&md5=f49024f15a130ee4fd4035522b6e4a1b,Conference Paper,Final,,Scopus,2-s2.0-85028302786
"Msayib, Y., Gaydecki, P., Callaghan, M., Dale, N., Ismail, S.",57193958223; 7003749668; 7006208379; 35731057200; 55849879600,An Intelligent Remote Monitoring System for Total Knee Arthroplasty Patients,2017,Journal of Medical Systems,41,6,90,,,,4,10.1007/s10916-017-0735-2,https://www.scopus.com/inward/record.url?eid=2-s2.0-85017605860&partnerID=40&md5=59fbb33063b9765e07b4c0d5f970f2e7,Article,Final,,Scopus,2-s2.0-85017605860
"Al Hafiz Khan, M.A., Roy, N.",56940858600; 9735486800,TransAct: Transfer learning enabled activity recognition,2017,"2017 IEEE International Conference on Pervasive Computing and Communications Workshops, PerCom Workshops 2017",,,7917621,545,550,,4,10.1109/PERCOMW.2017.7917621,https://www.scopus.com/inward/record.url?eid=2-s2.0-85019979245&partnerID=40&md5=76334bbd0bd392ad87fbda554ef6dcb8,Conference Paper,Final,,Scopus,2-s2.0-85019979245
"Eagleson, R., Altamirano-Diaz, L., McInnis, A., Welisch, E., De Jesus, S., Prapavessis, H., Rombeek, M., Seabrook, J.A., Park, T., Norozi, K.",6603343533; 35797098500; 57193644348; 24554624000; 55936707200; 7004562351; 56612057500; 7003817315; 57198837324; 9943185600,Implementation of clinical research trials using web-based and mobile devices: Challenges and solutions,2017,BMC Medical Research Methodology,17,1,43,,,,4,10.1186/s12874-017-0324-6,https://www.scopus.com/inward/record.url?eid=2-s2.0-85015424692&partnerID=40&md5=f0ab7d54d4427fbc340c90dedd97fdd0,Article,Final,Open Access,Scopus,2-s2.0-85015424692
"Awad, A., Mohamed, A., Chiasserini, C.-F., Elfouly, T.",54680714800; 55763482600; 7004886008; 35101804300,Distributed in-network processing and resource optimization over mobile-health systems,2017,Journal of Network and Computer Applications,82,,,65,76,,4,10.1016/j.jnca.2017.01.014,https://www.scopus.com/inward/record.url?eid=2-s2.0-85010222354&partnerID=40&md5=0d1d8049e5c444577bbc12df7ba952cb,Article,Final,,Scopus,2-s2.0-85010222354
"Yu, W., Liu, Z., Chen, C., Yang, B., Guan, X.",55473232300; 23019012600; 10040511200; 57111142500; 7201463266,Privacy-preserving design for emergency response scheduling system in medical social networks,2017,Peer-to-Peer Networking and Applications,10,2,,340,356,,4,10.1007/s12083-016-0429-4,https://www.scopus.com/inward/record.url?eid=2-s2.0-84955291685&partnerID=40&md5=56bc2e45e17b2c98e8bb2d1667323701,Article,Final,,Scopus,2-s2.0-84955291685
"Tan, R., Perkowski, M.",57191617520; 7005231359,ECG biometric identification using wavelet analysis coupled with probabilistic random forest,2017,"Proceedings - 2016 15th IEEE International Conference on Machine Learning and Applications, ICMLA 2016",,,7838142,182,187,,4,10.1109/ICMLA.2016.84,https://www.scopus.com/inward/record.url?eid=2-s2.0-85015387355&partnerID=40&md5=aa49f8875a94554b6982d29ad26b7148,Conference Paper,Final,,Scopus,2-s2.0-85015387355
"Dao, M.-S., Dang-Nguyen, D.-T., Riegler, M., Gurrin, C.",8303121000; 54792686300; 56411768700; 57210439772,Smart lifelogging: Recognizing human activities using PHASOR,2017,ICPRAM 2017 - Proceedings of the 6th International Conference on Pattern Recognition Applications and Methods,2017-January,,,761,768,,4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85030781307&partnerID=40&md5=2c568f9ea6064cf5326c637746d8a13e,Conference Paper,Final,,Scopus,2-s2.0-85030781307
"Dao, M.-S., Nguyen-Gia, T.-A., Mai, V.-C.",8303121000; 57204588379; 57195629581,Daily Human Activities Recognition Using Heterogeneous Sensors from Smartphones,2017,Procedia Computer Science,111,,,323,328,,4,10.1016/j.procs.2017.06.030,https://www.scopus.com/inward/record.url?eid=2-s2.0-85029373149&partnerID=40&md5=1796f02e4e4b77035bcbd7f31a5b3194,Conference Paper,Final,Open Access,Scopus,2-s2.0-85029373149
"Ehrler, F., Blondon, K., Baillon-Bigotte, D., Lovis, C.",22634033200; 24483102300; 57194243181; 55046580400,Smartphones to access to patient data in hospital settings: Authentication solutions for shared devices,2017,Studies in Health Technology and Informatics,237,,,73,78,,4,10.3233/978-1-61499-761-0-73,https://www.scopus.com/inward/record.url?eid=2-s2.0-85019484819&partnerID=40&md5=de3f1274116db0acb51c12864e8f16bb,Conference Paper,Final,,Scopus,2-s2.0-85019484819
"Ariani, A., Koesoema, A.P., Soegijoko, S.",36812871800; 15060531500; 6602948229,Innovative healthcare applications of ICT for developing countries,2017,Understanding Complex Systems,,9.78332E+12,,15,70,,4,10.1007/978-3-319-55774-8_2,https://www.scopus.com/inward/record.url?eid=2-s2.0-85019432796&partnerID=40&md5=c866b469a6920b983173c3f415f0aacc,Book Chapter,Final,,Scopus,2-s2.0-85019432796
"Boussif, M., Aloui, N., Cherif, A.",57196186061; 55682913500; 35618147800,New watermarking/encryption method for medical images full protection in m-Health,2017,International Journal of Electrical and Computer Engineering,7,6,,3385,3394,,3,10.11591/ijece.v7i6.pp3385-3394,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032197745&partnerID=40&md5=c0a7209422c7afc3b897a1975107898a,Article,Final,Open Access,Scopus,2-s2.0-85032197745
"Mistry, N., Coulson, C., George, A.",57196222231; 7003883224; 15845829000,endoscope-i: an innovation in mobile endoscopic technology transforming the delivery of patient care in otolaryngology,2017,Expert Review of Medical Devices,14,11,,913,918,,3,10.1080/17434440.2017.1386548,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032290820&partnerID=40&md5=75e812dd83dafdcf5f92db8653f8b14c,Review,Final,,Scopus,2-s2.0-85032290820
"Wojewidka, J.",57197819679,Why the mobile biometrics surge demands true liveness,2017,Biometric Technology Today,2017,10,,8,11,,3,10.1016/S0969-4765(17)30153-4,https://www.scopus.com/inward/record.url?eid=2-s2.0-85034956633&partnerID=40&md5=e58e9711536099714b12cbf572fabcca,Article,Final,,Scopus,2-s2.0-85034956633
"Leigh, S., Ouyang, J., Mimnagh, C.",56190590600; 57196223424; 57196220615,Effective? Engaging? secure? applying the orcha-24 framework to evaluate apps for chronic insomnia disorder,2017,Evidence-Based Mental Health,20,4, e20,,,,3,10.1136/eb-2017-102751,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032275054&partnerID=40&md5=a24ce35857249919ec3f506fca66fe1a,Article,Final,,Scopus,2-s2.0-85032275054
"Orsini, M., Pacchioni, M., Malagoli, A., Guaraldi, G.",22635295300; 57197792931; 56797981500; 35419288400,My smart age with HIV: An innovative mobile and IoMT framework for patient's empowerment,2017,"RTSI 2017 - IEEE 3rd International Forum on Research and Technologies for Society and Industry, Conference Proceedings",,,8065914,,,,3,10.1109/RTSI.2017.8065914,https://www.scopus.com/inward/record.url?eid=2-s2.0-85034824895&partnerID=40&md5=7aec6e472020c915ab25eaa7b5ae1eca,Conference Paper,Final,,Scopus,2-s2.0-85034824895
"Sun, X., Zhang, P., Sookhak, M., Yu, J., Xie, W.",57126521000; 55547109812; 56929703100; 55682152900; 7401940431,Utilizing fully homomorphic encryption to implement secure medical computation in smart cities,2017,Personal and Ubiquitous Computing,21,5,,831,839,,3,10.1007/s00779-017-1056-7,https://www.scopus.com/inward/record.url?eid=2-s2.0-85021718786&partnerID=40&md5=b28b6d28ee71d670ebb04b93e5f9a55d,Article,Final,,Scopus,2-s2.0-85021718786
"Le, T., Salles-Loustau, G., Xie, P., Lin, Z., Najafizadeh, L., Javanmard, M., Zonouz, S.",57188867529; 55053583900; 56975877000; 56975697000; 14033357800; 23985076700; 16481767100,Trusted sensor signal protection for confidential point-of-care medical diagnostic,2017,IEEE Sensors Journal,17,18,7993010,5807,5816,,3,10.1109/JSEN.2017.2732026,https://www.scopus.com/inward/record.url?eid=2-s2.0-85028923675&partnerID=40&md5=fb4c8c92dc5194af1f4e1fe053357753,Article,Final,,Scopus,2-s2.0-85028923675
"Burmaoglu, S., Saritas, O., Kıdak, L.B., Berber, ?.C.",53163130500; 6506092892; 24328697000; 57194521006,Evolution of connected health: a network perspective,2017,Scientometrics,112,3,,1419,1438,,3,10.1007/s11192-017-2431-x,https://www.scopus.com/inward/record.url?eid=2-s2.0-85020504157&partnerID=40&md5=0975725032fb16fbeca66c10617470d6,Article,Final,,Scopus,2-s2.0-85020504157
"Druml, N., Schilling, J., Pachler, W., Roitner, B., Ruprechter, T., Bock, H., Holweg, G.",55247432100; 57192160534; 35096523800; 57192159831; 56549013700; 22333668700; 23094020000,Secured miniaturized system-in-package contactless and passive authentication devices featuring NFC,2017,Microprocessors and Microsystems,53,,,120,129,,3,10.1016/j.micpro.2017.07.011,https://www.scopus.com/inward/record.url?eid=2-s2.0-85026647825&partnerID=40&md5=544d0731d354730f3b62fa1df00b2390,Article,Final,,Scopus,2-s2.0-85026647825
"Mahmoudi, S.A., El Adoui, M., Belarbi, M.A., Larhmam, M.A., Lecron, F.",55410455500; 57195947530; 57195672139; 55642463000; 36466621100,Cloud-based platform for computer vision applications,2017,ACM International Conference Proceeding Series,Part F130526,,,195,200,,3,10.1145/3128128.3128158,https://www.scopus.com/inward/record.url?eid=2-s2.0-85030317396&partnerID=40&md5=7bc3725ba6c6fcd777271aa9079b07f8,Conference Paper,Final,,Scopus,2-s2.0-85030317396
"Yu, W.D., Gottumukkala, A., Senthailselvi, D.A., Maniraj, P., Khonde, T.",7403913265; 57194659550; 57193061942; 57209872507; 57193060815,Distributed Big Data Analytics in Service Computing,2017,"Proceedings - 2017 IEEE 13th International Symposium on Autonomous Decentralized Systems, ISADS 2017",,,7940219,55,60,,3,10.1109/ISADS.2017.17,https://www.scopus.com/inward/record.url?eid=2-s2.0-85021433027&partnerID=40&md5=4b56654e2bd5d1046ef04b8bc63f3ad7,Conference Paper,Final,,Scopus,2-s2.0-85021433027
"Marcano-Belisario, J.S., Gupta, A.K., O’Donoghue, J., Ramchandani, P., Morrison, C., Car, J.",55603771700; 55628527468; 57193081374; 7005500586; 7201897940; 6701783618,Implementation of depression screening in antenatal clinics through tablet computers: results of a feasibility study,2017,BMC Medical Informatics and Decision Making,17,1,,1,11,,3,10.1186/s12911-017-0459-8,https://www.scopus.com/inward/record.url?eid=2-s2.0-85019040465&partnerID=40&md5=d3653c5672290202fbd42f670f1ca8ed,Article,Final,Open Access,Scopus,2-s2.0-85019040465
"Els, F., Cilliers, L.",57194419683; 56381524000,Improving the information security of personal electronic health records to protect a patient's health information,2017,"2017 Conference on Information Communication Technology and Society, ICTAS 2017 - Proceedings",,,7920658,,,,3,10.1109/ICTAS.2017.7920658,https://www.scopus.com/inward/record.url?eid=2-s2.0-85020026030&partnerID=40&md5=ec5393cee083050cf265723c538bb9c6,Conference Paper,Final,,Scopus,2-s2.0-85020026030
"Steigner, G., Doarn, C.R., Schütte, M., Matusiewicz, D., Thielscher, C.",57194193468; 7003293563; 35316522600; 55256274800; 6505535439,Health Applications for Corporate Health Management,2017,Telemedicine and e-Health,23,5,,448,452,,3,10.1089/tmj.2016.0162,https://www.scopus.com/inward/record.url?eid=2-s2.0-85019117771&partnerID=40&md5=4aa9f29859312d2dc3de40c9deabc28e,Article,Final,,Scopus,2-s2.0-85019117771
"Soviany, S., S?ndulescu, V., Pu?coci, S.",54421279100; 53980358700; 42262474300,A multimodal biometric identification method for mobile applications security,2017,"Proceedings of the 8th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2016",,,7861102,,,,3,10.1109/ECAI.2016.7861102,https://www.scopus.com/inward/record.url?eid=2-s2.0-85016223274&partnerID=40&md5=f82a72d20b1536ed8d664bdfe62f07d3,Conference Paper,Final,,Scopus,2-s2.0-85016223274
"Chi, H., Scarllet, C., Prodanoff, Z.G., Hubbard, D.",8888500200; 57193402830; 6507885711; 57188769314,Determining predisposition to insider threat activities by using text analysis,2017,FTC 2016 - Proceedings of Future Technologies Conference,,,7821723,985,990,,3,10.1109/FTC.2016.7821723,https://www.scopus.com/inward/record.url?eid=2-s2.0-85013646749&partnerID=40&md5=693fc7a9d7c1de0a7b658320f21e5d8f,Conference Paper,Final,,Scopus,2-s2.0-85013646749
"Huang, Q., Wang, L., Yang, Y.",55273666300; 55876882200; 56969151000,Secure and Privacy-Preserving Data Sharing and Collaboration in Mobile Healthcare Social Networks of Smart Cities,2017,Security and Communication Networks,2017,,6426495,,,,3,10.1155/2017/6426495,https://www.scopus.com/inward/record.url?eid=2-s2.0-85042702246&partnerID=40&md5=c9de7c7473b72e99e26d5972e6dbca71,Article,Final,Open Access,Scopus,2-s2.0-85042702246
"Cheon, J.H., Jeong, J., Lee, J., Lee, K.",7004902048; 57190939478; 57196327879; 57197826586,Privacy-preserving computations of predictive medical models with minimax approximation and non-adjacent form,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10323 LNCS,,,53,74,,3,10.1007/978-3-319-70278-0_4,https://www.scopus.com/inward/record.url?eid=2-s2.0-85035078377&partnerID=40&md5=e92e9e2d0518f7d6894256181c340583,Conference Paper,Final,,Scopus,2-s2.0-85035078377
"Meng, W., Au, M.H.",56062319900; 13611295300,Towards statistical trust computation for medical smartphone networks based on behavioral profiling,2017,IFIP Advances in Information and Communication Technology,505,,,152,159,,3,10.1007/978-3-319-59171-1_12,https://www.scopus.com/inward/record.url?eid=2-s2.0-85020525397&partnerID=40&md5=0d7688f401700103f88c236dbfcc1140,Conference Paper,Final,,Scopus,2-s2.0-85020525397
"Terry, N.",7005646159,Existential challenges for healthcare data protection in the United States | Des défis existentiels pour la protection des données de santé aux États-Unis,2017,"Ethics, Medicine and Public Health",3,1,,19,27,,3,10.1016/j.jemep.2017.02.007,https://www.scopus.com/inward/record.url?eid=2-s2.0-85018844783&partnerID=40&md5=197a76b7417aec2d4c481226cd7844da,Short Survey,Final,,Scopus,2-s2.0-85018844783
"Kluge, E.-H.W.",7103219871,Health Information Professionals in a Global eHealth World: Ethical and legal arguments for the international certification and accreditation of health information professionals,2017,International Journal of Medical Informatics,97,,,261,265,,3,10.1016/j.ijmedinf.2016.10.020,https://www.scopus.com/inward/record.url?eid=2-s2.0-84995632384&partnerID=40&md5=b95b423234e4252d4721367459747d75,Article,Final,,Scopus,2-s2.0-84995632384
"Basjaruddin, N.C., Rakhman, E., Kuspriyanto, Renardi, M.B.",54897904100; 56523227100; 53979748400; 57195927221,Developing Electronic Medical Record Based on NFC,2017,ACM International Conference Proceeding Series,,,,148,152,,2,10.1145/3168390.3168420,https://www.scopus.com/inward/record.url?eid=2-s2.0-85042130047&partnerID=40&md5=73b67447ad94be1a47aea18b049dbbe4,Conference Paper,Final,,Scopus,2-s2.0-85042130047
"Togan, M., Chifor, B.-C., Florea, I., Gugulea, G.",36454225400; 57105588300; 57201075663; 57201069537,A smart-phone based privacy-preserving security framework for IOT devices,2017,"Proceedings of the 9th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2017",2017-January,,,1,7,,2,10.1109/ECAI.2017.8166453,https://www.scopus.com/inward/record.url?eid=2-s2.0-85043331298&partnerID=40&md5=9035df8f8154c79db61640217394ae4a,Conference Paper,Final,,Scopus,2-s2.0-85043331298
"Jusob, F.R., George, C., Mapp, G.",57192165516; 15520522500; 15022766600,Exploring the need for a suitable privacy framework for mHealth when managing chronic diseases,2017,Journal of Reliable Intelligent Environments,3,4,,243,256,,2,10.1007/s40860-017-0049-7,https://www.scopus.com/inward/record.url?eid=2-s2.0-85055468822&partnerID=40&md5=c50a06da186fd2a280dec9bd3dc97761,Article,Final,,Scopus,2-s2.0-85055468822
"El Zouka, H.A.",24314669500,An authentication scheme for wireless healthcare monitoring sensor network,2017,"2017 14th International Conference on Smart Cities: Improving Quality of Life Using ICT and IoT, HONET-ICT 2017",2017-January,,,1,6,,2,10.1109/HONET.2017.8102205,https://www.scopus.com/inward/record.url?eid=2-s2.0-85043458468&partnerID=40&md5=991d511f7051a8785b3e2f8990b07899,Conference Paper,Final,,Scopus,2-s2.0-85043458468
"Mathew, S., Saranya, G.",57200417427; 57188697833,Advanced biometric home security system using digital signature and DNA cryptography,2017,"IEEE International Conference on Innovations in Green Energy and Healthcare Technologies - 2017, IGEHT 2017",,,8094076,,,,2,10.1109/IGEHT.2017.8094076,https://www.scopus.com/inward/record.url?eid=2-s2.0-85041234673&partnerID=40&md5=3e6429b6d81f783a028951da7267692c,Conference Paper,Final,,Scopus,2-s2.0-85041234673
"Woo, S., Ha, J., Byun, J., Kwon, K., Tolcha, Y., Kang, D., Nguyen, H.M., Kim, M., Kim, D.",57188676580; 57196221585; 56457566000; 37077481700; 57192513813; 57196247563; 57158113000; 8209273300; 56242386500,Secure-EPCIS: Addressing Security Issues in EPCIS for IoT Applications,2017,"Proceedings - 2017 IEEE 13th World Congress on Services, SERVICES 2017",,,8036719,40,43,,2,10.1109/SERVICES.2017.16,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032334352&partnerID=40&md5=03ac008483d9df7162bb7dbdd5e97fbd,Conference Paper,Final,,Scopus,2-s2.0-85032334352
"Langone, M., Setola, R., Lopez, J.",57196403810; 6603445785; 57010550300,Cybersecurity of Wearable Devices: An Experimental Analysis and a Vulnerability Assessment Method,2017,Proceedings - International Computer Software and Applications Conference,2,,8029946,304,309,,2,10.1109/COMPSAC.2017.96,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032874263&partnerID=40&md5=9b3fe664a4b794b0fa075955405f7ece,Conference Paper,Final,,Scopus,2-s2.0-85032874263
"Hadian, M., Altuwaiyan, T., Liang, X., Li, W.",57192109991; 57192113450; 36166745600; 56975564100,Efficient and Privacy-Preserving Voice-Based Search over mHealth Data,2017,"Proceedings - 2017 IEEE 2nd International Conference on Connected Health: Applications, Systems and Engineering Technologies, CHASE 2017",,,8010621,96,101,,2,10.1109/CHASE.2017.66,https://www.scopus.com/inward/record.url?eid=2-s2.0-85029395021&partnerID=40&md5=faba469d2fb82c436a8bc2e49592a248,Conference Paper,Final,,Scopus,2-s2.0-85029395021
"Freitas, A., Brito, L., Baras, K., Silva, J.",57197751836; 57188803656; 36141738800; 57189247208,Overview of context-sensitive technologies for well-being,2017,"Internet of Things for the Global Community, IoTGC 2017 - Proceedings",,,8008971,,,,2,10.1109/IoTGC.2017.8008971,https://www.scopus.com/inward/record.url?eid=2-s2.0-85034421464&partnerID=40&md5=0f70727fd9b9a04f52da9e8728a7e07f,Conference Paper,Final,,Scopus,2-s2.0-85034421464
"Sheikh, A., Cresswell, K.M., Wright, A., Bates, D.W.",7202522962; 22933669600; 16644142900; 57113031900,Key Advances in Clinical Informatics: Transforming Health Care through Health Information Technology,2017,Key Advances in Clinical Informatics: Transforming Health Care through Health Information Technology,,,,1,313,,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85040412678&partnerID=40&md5=1c83956ab9bd077e615c8cc2cc2d06b0,Book,Final,,Scopus,2-s2.0-85040412678
"Kammuller, F., Augusto, J.C., Jones, S.",23018402100; 6701481410; 56446068500,Security and privacy requirements engineering for human centric IoT systems using eFRIEND and Isabelle,2017,"Proceedings - 2017 15th IEEE/ACIS International Conference on Software Engineering Research, Management and Applications, SERA 2017",,,7965758,401,406,,2,10.1109/SERA.2017.7965758,https://www.scopus.com/inward/record.url?eid=2-s2.0-85026665556&partnerID=40&md5=9aeaab745edbe570bcbafe6579b87d56,Conference Paper,Final,,Scopus,2-s2.0-85026665556
"Wang, J., Liu, S.-B., Liang, C., Li, Y.-K.",57200020191; 24721973100; 57193561060; 56675417600,Two-factor wearable device authentication protocol based on PUF and IPI,2017,Tongxin Xuebao/Journal on Communications,38,6,,127,135,,2,10.11959/j.issn.1000-436x.2017125,https://www.scopus.com/inward/record.url?eid=2-s2.0-85028950570&partnerID=40&md5=5e11c5dcd8667428312caadc236ffc47,Article,Final,,Scopus,2-s2.0-85028950570
"Roth, A.M., Rossi, J., Goldshear, J.L., Truong, Q., Armenta, R.F., Lankenau, S.E., Garfein, R.S., Simmons, J.",35389671400; 55192723000; 56703380800; 57193230049; 56189985800; 6602119353; 7003814389; 16308090900,Potential Risks of Ecological Momentary Assessment Among Persons Who Inject Drugs,2017,Substance Use and Misuse,52,7,,840,847,,2,10.1080/10826084.2016.1264969,https://www.scopus.com/inward/record.url?eid=2-s2.0-85011798263&partnerID=40&md5=e4aa0f169928f1bb6c005b8c4026d421,Article,Final,,Scopus,2-s2.0-85011798263
"Liabsuetrakul, T., Prappre, T., Pairot, P., Oumudee, N., Islam, M.",55917610700; 36447714900; 57194326506; 41661802900; 23993774500,Development of a web-based epidemiological surveillance system with health system response for improving maternal and newborn health: Field-testing in Thailand,2017,Health Informatics Journal,23,2,,109,123,,2,10.1177/1460458216628312,https://www.scopus.com/inward/record.url?eid=2-s2.0-85019678867&partnerID=40&md5=2b5e912494174e01d82c58a27c58e59c,Article,Final,,Scopus,2-s2.0-85019678867
